Fri Jan 29 15:37:34 CST 2016
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1454052994423,5,200,4,1,17,0,0,0,0,0,0,0,0
1454052999422,5,200,4,1,17,0,0,0,0,0,0,0,0
1454053004422,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053009421,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053014423,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053019424,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053024421,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053029424,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053034422,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053039424,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053044425,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053049424,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053054421,5,200,4,1,17,0,0,0,0,0,0,0,0
Fri Jan 29 15:37:34 CST 2016
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1454052994425,5,200,4,1,17,0,0,0,0,0,0,0,0
1454052999428,5,200,4,1,17,0,0,0,0,0,0,0,0
1454053004429,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053009430,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053014430,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053019429,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053024429,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053029430,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053034427,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053039429,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053044428,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053049430,5,200,5,0,17,0,0,0,0,0,0,0,0
1454053054429,5,200,4,1,17,0,0,0,0,0,0,0,0
Fri Jan 29 15:37:34 CST 2016
